hru,2010,2020,2030,2040,2050,2060,2070,2080,2090
148,710.7447727,677.175,556.0059091,595.4714091,602.6468182,585.4743409,597.6684091,584.4197727,556.8431818
149,726.1875,534.9775,416.5075,584.645,697.1375,584.1725,576.6785,513.1675,509.7675
150,968.3369767,945.3844186,793.1830233,827.5839535,847.2332558,814.2565116,808.4551163,824.6127907,835.005814
151,736.897,749.642,604.326,565.501,529.744,552.37,650.41,670.218,637.561
152,1057.253846,1076.038974,864.3164103,822.5082051,864.8074359,863.7271795,978.5553846,929.8915385,788.6720513
153,688.485,674.7484615,608.4763077,609.5619231,608.8567692,585.922,589.7223462,592.1453846,613.8403846
154,896.1930508,870.0111864,791.3608475,801.01,804.009661,788.2171186,820.1466102,860.8386441,862.7579661
155,580.7265217,567.128,492.8276087,623.4121739,602.2765217,582.3230435,607.766087,676.5256522,727.2926087
156,568.3,678.2390909,604.9727273,645.3927273,529.5,508.3718182,557.5036364,592.4272727,606.3663636
157,935.3507143,846.1221429,679.0492857,694.445,753.6592857,734.8803571,786.0139286,785.3010714,809.8032143
158,1001.253636,971.0590909,738.8018182,668.0281818,762.4027273,795.8254545,819.4009091,766.75,703.4536364
159,702.9791304,689.4813043,608.606087,560.8934783,636.0391304,672.2747826,718.3686957,648.4234783,673.5808696
160,705.875,710.2175,592.5475,639.195,656.98875,610.13375,640.13125,682.96375,700.185
161,704.5242857,719.5364286,630.565,655.0242857,649.2077143,607.225,622.1180714,684.1478571,676.505
162,633.875,570.835,478.9183333,555.1216667,575.6666667,549.13,474.8241667,535.08,581.745
163,760.2266667,794.88,702.7533333,742.4533333,760.54,724.9066667,738.15,769.7133333,763.6966667
164,758.8475,768.7825,689.665625,701.209375,654.961875,627.35,698.895625,685.75625,708.924375
165,722.097,767.216,650.142,706.452,761.322,764.621,752.45,768.754,805.794
166,753.2215789,787.5042105,703.0421053,739.4563158,732.4826316,712.63,697.9236842,716.1384211,695.4626316
167,919.635303,941.7766667,834.6318182,821.0374242,856.7089394,834.4181818,838.684697,844.7274242,824.3269697
168,709.93375,725.64,600.7079167,583.3658333,613.6029167,607.275,645.13875,653.3291667,671.8258333
169,657.553,655.606,575.462,616.589,612.308,568.643,591.162,630.907,627.535
170,711.0347059,723.2523529,636.2141176,694.2941176,706.1347059,679.6311765,698.65,740.6376471,733.9429412
171,744.2581633,771.1412245,827.5771429,671.6742857,622.182449,580.1544898,686.9691837,800.8383673,729.8504082
172,730.2125,762.255,673.63,710.73,727.315,695.7875,708.69,738.9175,731.6325
173,771.28,759.338,701.218,719.6236,727.3892,659.5424,632.7824,649.0332,695.1728
174,714.630339,718.8984746,629.9035593,653.1044068,649.9644237,617.6642034,647.2725424,671.122,660.4968136
175,750.5933333,731.6588889,639.9388889,682.6422222,686.98,625.9422222,636.5755556,656.1622222,678.2744444
176,736.498,807.978,715.0826667,816.688,722.2946667,684.0406667,723.072,766.19,845.7993333
177,633.9395238,636.9533333,542.5575238,573.2742857,550.1015714,505.7566667,514.0860476,574.3647619,577.2742857
178,720.9,766.83,706.45,674.26,715.205,680.575,739.05,729.67,735.875
179,847.2370588,766.4117647,689.9847059,727.8652941,762.15,735.6429412,782.8664706,807.6229412,768.0482353
180,901.7066667,777.44,695.9588889,812.6877778,848.9855556,799.0577778,790.9044444,822.6866667,862.2322222
181,705.198,736.731,646.067,713.873,698.266,663.514,706.189,755.505,742.442
182,727.2123077,776.9484615,658.1107692,686.3646154,747.9707692,731.9630769,719.99,729.8946154,773.1930769
183,964.3653333,954.212,788.9133333,723.52,717.9933333,684.6813333,795.334,811.0033333,826.2593333
184,682.17,687.8833333,603.15,524.2733333,502.2333333,487.9666667,547.32,638.3966667,659.73
185,732.4633333,682.3133333,595.55,635.66,655.6966667,648.26,697.1033333,707.08,658.4133333
186,787.7066667,780.9733333,640.9,684.6873333,703.5146667,686.566,723.6346667,724.948,690.2926667
187,771.9433333,773.8,661.0966667,726.9866667,729.7933333,691.6966667,743.0933333,753.9366667,745.0366667
188,671.8783333,649.8766667,569.8883333,607.9633333,607.4016667,573.5433333,531.7483333,572.1966667,590.8233333
189,768.6188889,768.3944444,681.6833333,720.7966667,726.97,691.0422222,719.3944444,738.0733333,745.0211111
190,748.9057143,762.0307143,670.6257143,732.23,768.0914286,737.4357143,736.4221429,772.7621429,732.6378571
191,824.856,821.928,743.898,764.466,801.038,796.428,800.7,725.9,786.912
192,775.6118,766.1398,654.2808,694.3368,711.1448,672.3176,694.8438,728.203,739.8974
193,770.6533333,770.0333333,682.6833333,725.2033333,725.8133333,677.8933333,709.2633333,733.7433333,740.16
194,774.1896429,780.2392857,661.0046429,689.0903571,685.7025,650.5603571,669.4964286,700.9278571,712.67
195,774.1869231,789.43,665.5807692,706.9807692,676.0384615,660.8907692,688.8161538,729.9192308,701.4515385
196,785.2183636,815.6458182,718.2045455,762.8065455,780.4298182,728.1305455,731.4845455,765.0021818,725.414
197,768.788,739.35,647.7011111,695.942,726.3893333,629.3257778,593.3364444,596.4075556,639.1484444
198,705.36,712.705,631.18,673.14,670.075,613.25,643.09,687.115,695.02
199,921.2226087,870.8830435,696.383913,766.5495652,970.9630435,896.533913,884.11,820.8126087,711.7065217
200,701.6521429,636.2264286,558.3644286,575.6421429,619.8335714,528.5914286,535.3885714,616.5535714,662.8928571
201,778.8442857,789.2042857,678.1114286,741.9171429,744.0071429,702.67,729.6271429,768.9628571,763.8028571
202,645.63,647.157,547.329,569.533,565.2246,544.8107,580.746,636.763,657.825
203,771.1311111,798.9880556,694.7166667,742.2772222,743.3808333,684.7931389,702.3688889,743.7997222,744.8988889
204,758.80375,751.64875,640.59625,651.40375,643.195,623.17625,664.39875,703.4175,700.10875
205,963.0731034,916.737931,761.9617241,765.1362069,823.5172414,783.8113793,819.1796552,834.4286207,770.957931
206,698.7055263,645.3705263,550.2121053,600.4423684,601.8421053,551.5586842,524.265,554.9521053,620.7197368
207,758.6481818,775.7931818,662.6309091,703.6027273,698.9590909,643.7827273,671.4790909,697.3331818,707.7045455
208,792.4257143,809.7471429,701.6442857,754.4485714,767.0971429,711.7185714,742.2771429,779.9214286,782.8257143
209,786.7245455,803.9845455,695.1309091,753.7154545,761.9090909,709.1627273,737.8,777.1745455,776.9672727
210,790.54,783.6608,692.1564,816.024,800.0464,727.1152,746.1624,691.9888,685.4124
211,899.97,856.5552632,737.1110526,730.2289474,781.4268421,746.1326316,737.3463158,766.0205263,826.52
212,857.67,234.07,634.08,769.43,864.83,819.43,870.94,614.33,235.86
213,709.7723529,705.1217647,628.6164706,657.5452941,623.9355294,564.6212941,577.9178824,626.4670588,662.9511765
214,788.7,829.18,725.0742857,764.5057143,768.7357143,745.3414286,761.4785714,801.7942857,782.6128571
215,809.6,855.5168421,840.4452632,845.1778947,789.7215789,818.4278947,824.9557895,749.5857895,749.9394737
216,747.2963158,745.7031579,663.8978947,658.2452632,635.4742105,647.5589474,702.0642105,679.9889474,647.1768421
217,784.0058333,795.5716667,688.09,706.5325,704.5108333,696.3966667,721.0216667,747.9266667,741.3441667
218,1021.718333,845.0483333,672.665,616.565,806.6066667,797.6,726.9883333,706.94,676.3966667
219,806.0645455,803.6263636,711.6227273,751.7727273,759.6772727,724.67,756.24,769.5945455,778.7509091
220,824.6370588,850.42,758.7158824,756.7558824,679.6623529,625.5194118,657.1123529,715.2017647,766.99
221,711.2588462,737.6257692,649.6069231,710.2007692,688.3857692,626.7558462,636.1515385,689.4786923,711.0776923
222,772.505,833.67125,738.79875,703.43125,731.86125,666.940625,620.091875,631.55,569.109375
