hru,2010,2020,2030,2040,2050,2060,2070,2080,2090
184,687.38,652.7066667,646.4966667,550.4166667,542.49,526.67,558.9433333,558.88,394.8
185,749.7766667,660.8333333,647.34,693.1266667,732.8933333,739.4866667,794.8866667,730.99,701.5566667
186,797.368,751.2626667,708.2466667,749.5546667,765.858,768.496,814.9766667,781.09,780.1
187,789.6266667,780.2033333,759.1233333,804.7,796.2733333,778.07,802.8333333,813.58,819.32
188,679.055,626.9533333,628.4916667,676.7116667,690.31,649.4066667,589.2633333,549.4166667,355.465
189,776.6066667,752.3933333,739.0844444,783.5611111,776.7244444,758.7422222,799.85,781.5066667,782.6011111
190,766.2178571,770.4242857,745.2685714,769.3907143,785.5835714,767.5207143,804.5357143,804.3192857,782.12
191,870.91,890.968,944.556,959.37,830.298,682.774,737.354,645.478,788.336
192,781.224,733.1418,716.2254,756.29,785.1858,774.0742,813.783,747.5778,654.726
193,753.7566667,735.45,723.8466667,761.6033333,745.11,734.9733333,769.4433333,750.7866667,748.4633333
194,785.1907143,766.3107143,748.8589286,783.32,803.5925,766.6021429,787.09,764.0271429,774.9903571
195,785.0923077,774.1130769,746.8776923,775.3776923,760.8684615,753.4684615,797.8938462,773.2361538,780.2753846
196,821.5716364,822.1269091,808.9074545,837.9987273,855.1809091,823.3889091,834.2443636,811.9230909,835.7110909
197,754.942,720.3164444,690.7784444,690.9791111,661.1917778,627.5835556,662.6624444,685.7648889,690.8473333
198,703.245,679.92,674.985,708.15,621.485,560.255,588.165,619.86,642.965
199,897.4034783,838.3886957,791.5495652,832.2104348,876.5195652,732.1643478,713.4095652,765.8391304,844.8508696
200,705.7328571,653.98,599.0935714,567.0535714,526.0328571,459.88,549.2092857,591.6085714,665.4335714
201,789.3742857,773.3,759.2142857,799.3485714,809.5614286,796.6185714,818.7071429,790.6942857,791.62
202,647.4227,626.914,612.246,655.408,686.139,648.519,664.345,593.182,358.153
203,773.9091667,763.9172222,761.4544444,787.7938889,789.8036111,768.7563889,792.3497222,735.3905556,419.3772222
204,741.9425,716.04,679.8275,708.35125,687.5675,686.85625,739.24625,720.1375,710.0725
205,943.9568966,878.6541379,797.257931,810.4517241,810.8437931,793.6058621,818.7837931,828.1372414,835.4410345
206,697.2136842,599.9257895,565.8021053,600.4152632,618.4576316,607.7902632,608.9102632,636.7192105,648.7421053
207,764.9663636,757.0604545,745.6395455,788.6418182,786.5022727,759.52,796.0395455,770.9631818,797.3395455
208,800.1557143,788.0028571,777.3614286,818.0142857,834.22,820.04,850.5714286,805.5957143,818.0728571
209,798.4409091,784.9881818,773.5154545,811.1336364,828.2818182,815.6727273,844.8827273,802.3009091,813.0254545
210,770.2928,723.7936,675.6372,721.6608,662.2004,669.6776,740.7508,773.538,743.7304
211,875.6494737,798.2542105,761.5552632,732.4315789,758.3994737,782.2721053,826.7563158,799.6410526,883.3205263
212,825.24,245.24,249.1,256.32,681.35,757.11,890.58,696.98,695.05
213,708.5894118,657.4923529,652.4301765,673.2162353,668.6198235,612.4793529,627.2823529,628.7770588,649.3008235
214,798.9742857,792.8857143,790.8185714,820.83,828.8157143,794.1928571,814.3757143,802.3042857,836.2228571
215,781.1878947,796.2505263,852.4621053,894.31,883.4042105,906.7157895,801.8889474,681.4152632,719.6031579
216,750.4347368,712.7010526,673.9836842,705.5757895,729.1836842,725.8968421,776.4015789,748.8847368,717.0247368
217,795.7783333,780.4458333,770.0666667,792.8883333,784.3925,779.1925,814.68,801.4925,812.4425
218,1018.121667,948.9633333,920.2466667,911.4366667,823.3583333,768.685,763.365,747.4633333,702.4833333
219,806.6281818,785.4218182,770.0690909,818.0509091,804.8709091,783.7927273,828.0954545,812.9072727,813.7254545
220,809.8970588,801.3788235,813.3288235,783.7752941,692.7064706,740.1364706,839.0023529,767.4517647,690.1123529
221,710.1123077,702.5973077,704.7426923,747.0204615,703.2792308,683.2961538,704.4269231,662.9734615,496.5788462
222,747.15,781.889375,770.95,766.695625,686.209375,670.50625,694.04,687.23,692.170625
223,752.6452778,718.3725,697.2966667,724.7811111,721.9997222,727.4816667,774.9833333,729.5286111,628.2313889
224,783.1736364,775.6745455,766.0409091,806.2845455,822.4972727,809.4936364,841.5627273,795.8781818,809.0118182
225,733.81,715.95,703.55,742.37,725.78,714.08,747.75,732.98,729.88
226,675.37,641.075,605.4925,586.62,483.3125,465.9425,487.5075,470.33,350.8325
227,703.055,687.14875,706.3975,706.94625,618.6,644.51125,725.7575,704.4375,674.88875
228,670.43,636.88,633.23,662.66,577.68,358.63,512.03,612.66,242.45
229,701.9633333,755.2491667,766.7933333,724.6658333,673.7233333,706.0166667,715.2683333,682.8933333,740.9825
230,688.94,650.82,644,670.89,679.33,665.75,689.99,628.21,243.26
231,788.66125,683.60125,664.59125,734.19875,757.4075,666.645,645.5825,681.6925,700.6675
232,674.2,639.29,634.905,554.84,466.32,547.365,580.95,558.355,374.17
233,807.5742857,779.6385714,768.4292857,812.2392857,806.2228571,785.0685714,829.7128571,807.9235714,811.2185714
234,750.89,700.8935714,656.3853571,672.0696429,672.8710714,655.7235714,764.9971429,697.3232143,710.5892857
235,775.4602941,766.3341176,761.5238235,798.5761765,795.0941176,758.3108824,787.4647059,765.4538235,792.3661765
236,898.0283333,843.465,831.0441667,809.58,798.1983333,838.6775,974.155,993.2875,816.0525
237,626.63,581.7666667,635.7633333,773.2033333,796.9333333,786.9733333,838.26,461.9466667,543.4933333
238,967.6494118,895.7776471,858.92,897.5994118,930.9447059,989.8535294,1027.504706,967.9005882,969.5088235
239,777.0817647,764.6994118,735.3529412,775.2476471,787.2511765,767.2854118,813.5358824,741.9264706,397.73
240,777.3844118,765.6394118,752.5338235,786.8982353,791.3944118,791.0970588,827.7841176,777.3944118,784.5214706
241,799.5364286,817.2557143,820.3371429,842.785,851.8885714,789.2971429,786.4292857,773.4571429,801.9657143
242,676.16,640.03,635.64,649.3533333,594.7233333,502.0166667,590.99,625.1766667,604.5066667
243,815.544,830.4872,837.0016,823.8316,813.2596,791.4676,819.556,805.882,829.764
244,837.13,799.6525,707.61,565.7025,654.37,901.3575,922.5675,770.165,751.2025
245,847.8034884,822.9323256,799.8574419,850.0951163,868.2937209,846.29,897.3251163,850.0206977,861.6916279
